"序号","项目","比赛名称","开始日期","结束日期","承办单位","地点","是否我们项目"
"45","自由式滑雪大跳台和坡面障碍技巧","2025-2026赛季全国自由式滑雪大跳台冠军赛","2026-03-10","2026-03-17","黑龙江省体育局","哈尔滨市亚布力滑雪场","是"
"46","自由式滑雪大跳台和坡面障碍技巧","2025-2026赛季全国自由式滑雪坡面障碍技巧冠军赛","2026-03-10","2026-03-17","黑龙江省体育局","哈尔滨市亚布力滑雪场","是"
"51","单板滑雪大跳台和坡面障碍技巧","2025-2026赛季全国单板滑雪大跳台冠军赛","2026-03-10","2026-03-17","黑龙江省体育局","哈尔滨市亚布力滑雪场","是"
"52","单板滑雪大跳台和坡面障碍技巧","2025-2026赛季全国单板滑雪坡面障碍技巧冠军赛","2026-03-10","2026-03-17","黑龙江省体育局","哈尔滨市亚布力滑雪场","是"
"93","雪橇","2025-2026赛季全国雪橇冠军赛","2026-03-11","2026-03-15","延庆区体育局","北京市延庆国家雪车雪橇中心","否"
"94","雪橇","2025-2026赛季全国雪橇青年锦标赛","2026-03-11","2026-03-15","延庆区体育局","北京市延庆国家雪车雪橇中心","否"
"112","冰球","2025-2026赛季中国男子冰球职业联赛（总决赛）","2026-03-14","2026-03-18","北京市体育局","北京市冰上项目训练基地","否"
"90","雪车","2025-2026赛季全国雪车锦标赛","2026-03-17","2026-03-22","延庆区体育局","北京市延庆国家雪车雪橇中心","否"
"92","钢架雪车","2025-2026赛季全国钢架雪车锦标赛","2026-03-17","2026-03-22","延庆区体育局","北京市延庆国家雪车雪橇中心","否"
"18","速度滑冰","2025-2026赛季全国速度滑冰冠军赛","2026-03-19","2026-03-22","国家速滑馆","国家速滑馆","否"
"6","短道速滑","2025-2026赛季全国短道速滑冠军赛","2026-03-20","2026-03-22","呼和浩特市体育局","呼和浩特体育中心综合体育馆","否"
"28","冰壶","2025-2026赛季全国冰壶锦标赛","2026-03-22","2026-04-04","上海市冰雪协会","上海市普陀区冰上运动中心","否"
"33","自由式滑雪空中技巧","2025-2026赛季全国自由式滑雪空中技巧冠军赛","2026-03-24","2026-03-31","阿尔山市文化旅游体育局/阿尔山太伟运动休闲温泉度假村有限责任公司","内蒙古阿尔山市太伟滑雪场","否"
"29","冰壶","2025-2026赛季全国冰壶冠军赛","2026-04-16","2026-04-26","呼伦贝尔市体育局","内蒙古冰上运动训练中心（冰壶馆）","否"
"113","冰球","2026年国际冰联男子冰球世锦赛甲级B组比赛","2026-04-29","2026-05-05","中国冰球协会、广东省体育局、深圳市人民政府","深圳大运中心","否"
